Company,Industry,Headquarters,Reviews,Jobs,Salaries,Benefits,Interviews
Glenmark Pharmaceuticals,Pharma, Mumbai,(3.1k),28,11.4k,340,149
Indian Air Force,Defence & Aerospace, New Delhi,(2.9k),--,5k,382,59
Reliance Nippon Life Insurance,Insurance, Mumbai,(2.9k),3,8k,240,145
PNB MetLife,Insurance, New Delhi,(3.1k),350,7.8k,231,162
Aarti Industries,Agro Chemicals, Bharuch,(3.1k),34,13.3k,397,291
Kotak Mahindara Life Insurance,Insurance, Mumbai,(3k),2.1k,11.3k,278,229
Kyndryl,IT Services & Consulting, Bangalore / Bengaluru,(3.1k),91,21.9k,209,194
Conduent,BPO, Bangalore / Bengaluru,(2.8k),38,16.8k,389,201
InterGlobe Aviation,Aviation, New Delhi,(2.8k),31,12.5k,334,328
GeBBS Healthcare Solutions,Healthcare, Mumbai,(2.8k),47,11.1k,307,151
Hindustan Coca Cola Beverages,Beverage, Bangalore / Bengaluru,(2.9k),55,7.1k,397,141
Motilal Oswal Financial Services,Financial Services, Mumbai,(3k),46,10.8k,200,302
DTDC Express,Logistics, New Delhi,(2.9k),10,7.9k,276,162
Tata AIG,Insurance, Mumbai,(2.8k),134,10.7k,256,162
Alstom Transportation,Engineering & Construction, Bangalore / Bengaluru,(2.7k),380,12.7k,198,249
ABB,Industrial Machinery, Bangalore / Bengaluru,(2.9k),20,15.6k,378,245
CMS IT Services,IT Services & Consulting, Mumbai,(2.7k),32,9.6k,202,142
Max Healthcare,Healthcare, New Delhi,(2.7k),96,9.5k,296,152
Ceat Tyres,Auto Components, Nagpur,(2.9k),2,12k,370,176
Tata Technologies,Engineering & Construction, Pune,(2.7k),123,20.3k,353,274
NatWest Group,Banking, Gurgaon / Gurugram,(2.9k),--,19k,397,211
Square Yards,Internet, Gurgaon / Gurugram,(2.8k),74,8.5k,306,205
UPL,Agro Chemicals, Ankleshwar,(2.7k),39,10.5k,334,185
UNO Minda,Auto Components, Pune,(2.7k),15,9.5k,290,190
UnitedHealth,Healthcare, Hyderabad / Secunderabad,(2.7k),--,15.7k,448,84
Barclays,Banking, Pune,(2.7k),--,25.6k,283,280
PepsiCo,Food Processing, Hyderabad / Secunderabad,(2.7k),479,11.2k,265,205
Whitehat jr,EdTech, Mumbai,(2.7k),--,9.3k,972,262
Titan Company,Retail, Bangalore / Bengaluru,(2.7k),328,8.7k,360,161
Walmart,Retail, Bangalore / Bengaluru,(2.7k),159,17.9k,391,400
Varroc Group,Auto Components, Pune,(2.7k),7,8.8k,251,184
ACC,Building Material, Mumbai,(2.6k),2,8.7k,290,202
ArcelorMittal Nippon Steel,Iron & Steel, Surat,(2.8k),10,10k,141,238
RSPL Group,FMCG, Kanpur,(2.8k),35,8.8k,313,198
Zensar Technologies,IT Services & Consulting, Pune,(2.6k),324,24.8k,283,256
Torrent Pharmaceuticals,Pharma, Ahmedabad,(2.6k),37,9.8k,342,133
Dilip Buildcon,Engineering & Construction, Bhopal,(2.6k),8,7.8k,305,152
Mankind Pharma,Pharma, New Delhi,(2.6k),12,8.5k,266,206
S&P Global,Analytics & KPO, Hyderabad / Secunderabad,(2.7k),265,17.8k,254,289
Afcons Infrastructure,Engineering & Construction, Mumbai,(2.6k),9,7.9k,331,220
Shoppers Stop,Retail, Mumbai,(2.6k),11,6.8k,337,119
Nokia,Telecom, Bangalore / Bengaluru,(2.6k),317,14.6k,566,279
TVS Credit,NBFC, Chennai,(2.6k),38,6.6k,208,119
Amazon Transportation Services,n/a,Hyderabad / Secunderabad,(2.7k),--,7.5k,267,232
Fiserv,FinTech, Pune,(2.5k),72,17.6k,345,178
HDFC Sales,Financial Services, Mumbai,(2.5k),26,7.7k,202,170
